Customer Names,Titles,Date,Reviews
Prady,THE BEST!,5 December 2020,"  Best in class. Performance, Display, Battery backup are above excellent.A must have for every tech geekBought this after selling my Yamaha R15, but no regrets.... It's speed is better than R15. 😅"
Nomadic,It's alien technology,18 August 2021,"  Pros:-1. It's Superfast. It will feel fast on everything - from bootup, to app opening, to builds etc.2. It's slim. Air has no fan hence it's form factor is even slimmer than Pro.3. It remains cold even during heavy code builds. It's hard to find things which makes it warm actually.4. I have tried several graphics heavy games and they run great without any heat as well5. If you are just browsing with Wifi on, typically it loses 10% battery in 7-8 hours. But it's for Safari browser. It has achieved I guess what people will call power-efficiency nirvana.6. Screen, Sound and Mic quality are awesomeCons:-1. Since it's winters in India now, some people might not like that it doesn't heat up the surroundings2. For longer workloads - like if you are doing daily large video compressions/conversions and that takes like 15-20 mins, then this machine will not work as fast as Pro; as that's not the load it's optimised for. But ask yourself - whether you are gonna do that at all.3. Camera is 720p and that sucks about every other laptop as well. But Apple has brought some software optimisations which will make it look better4. It doesn't make sound of fan, so you might feel asleep if you are used that to keep track of your ML jobs.Apple started a revolution with this. Go for it, it's worth it."
Prady,Super excited,5 December 2020,"  If we could get it for around 70-75k with some kind of discount that would b huge.. anyways, super excited."
tech geek,Don't Buy Apple Products from Amazon,25 January 2021,"  Ordered the M1 Air on 5th August and got it delivered on the 7th. Then on 18th noticed a black/grey spot on the display... quick google search revealed this as a dead pixel and quite common with M1 Macs. So I called up Apple and they offered me two options, either a new replacement Mac or full refund since mine is still under 14 days. As soon as I revealed that I purchased from Amazon, the Apple sales team said sorry they can't help me since Amazon is not Apple authorised seller.I'm never buying another Apple product from Amazon again. If you want the full Apple experience like seamless replacement, refund or after sales then you need to buy it from Apple or from any of its authorised sellers. I made a costly mistake hope others will not after reading this message."
Shiran Lone,M1 8gb vs 16gb confusion?,19 November 2020,"  Should i buy the 16gb ram from apple store? This was the question i had for a long time. After going through tons of videos that compares 8gb air vs 16gb there was a clear evidence that with my use i can still be happy with the m1 8gb ram variant.This is not a long term review but i shall update the review after few months of usage.Why i opted for 8gb ram?My use is browsing some secure pages, maybe watch some videos too. Use imovies to edit small videos (not heavy 4k long videos as such) but i have seen that this can support even editing 4k videos. But then definitely if you are someone who use it majorly for editing 4k videos then you should probably get the 16gb variant. Then i do a little bit of coding too.I do have a office laptop that is a 16gb ram intel one. I did try opening some youtube 4k vids in chrome and compared it side by side and initial impression is pretty good on how the m1 takes on the load. But I should wait for more to get the actual picture.So, if you are light user with basic use and not into gaming or anything. This laptop is gonna be more than enough for your use. As its very much portable and light weight. The battery is also heavily optimised. ( i tried all these and i am yet to do my initial charging 😊).I shall update my review after 3-6 months for a better comparison.***update after 10 months *****No regrets! This is super fast engine. I do a lot of coding now with this. I feel every software works like a charm in M1 now. Of course we have the updated processor now. This is a start of a super powerful engine"
Nomadic,Play awesome,18 August 2021,  Excellent product  very fast and amazing fast m1 chip so fast and faster  than the intel processor what a power
ashish,Worst product ever,19 January 2021,"  Worst experience ever , first of all they sold me a bad product with display issues and now they is no proper response to replace or refund the lap and I have been trying to do this from last one week . I have been calling Amazon customer care from past 5 days . Worst worst experience ever"
suryakala,The best macbook air till date,17 November 2020,  Amazing speed and works flawlessly. Does not get hot like previous intel model.M1 models are a game changer. Apple will rule processor universe in future and M1 is only an entry processor.
Dr Vignesh,It's value for money,31 May 2021,"  I am using Macbook M1 - 512GB version for more than 20 days now. I never noticed any heat. I am able to install almost everything I need. HomeBrew, VLC Player, VSCode, Darktable, Docker Preview, Chrome, and many more.iTerm with ohmyzsh no issue at all.node, ruby, python, java(azul jdk), php, elixir, go, typescript, many morenot installed deno as I have to download x-code full(11GB) will do in futurenot installed android studionot installed rustnot installed whatever I didn't install.Spotify, Prime Music were installed for music"
Abhishek Verma,Damaged Product,19 December 2020,"  Don't buy from this seller , I received a defective piece and they are not willing to replace it either... The function key seems to be short circuited and the keyboard is misbehaving like hell... what's the point of carrying an external keyboard after spending so much for this ...It's like stealing our hard earned money !!!"
